title,author,price,original_price,stock,category
অপেক্ষা,হুমায়ূন আহমেদ,290.00,350.00,50,Fiction
কোথাও কেউ নেই,হুমায়ূন আহমেদ,300.00,350.00,50,Fiction
প্রথম আলো,সুনীল গঙ্গোপাধ্যায়,2300.00,2500.00,50,History
জোছনা ও জননীর গল্প,হুমায়ূন আহমেদ,680.00,800.00,50,History
সংশপ্তক,শহীদুল্লাহ কায়সার,290.00,350.00,50,Fiction
Harry Potter,J.K. Rowling,1100.00,1200.00,50,Fantasy
A Tale Of Two Cities,Charles Dickens,725.00,800.00,50,Classics
Crime and Punishment,Fyodor Dostoevsky,930.00,1000.00,50,Classics
Pride and Prejudice,Jane Austen,800.00,900.00,50,Classics
White Nights,Fyodor Dostoevsky,300.00,350.00,50,Classics
The Diary of a Young Girl,Anne Frank,350.00,390.00,50,Biography
Man's Search for Meaning,Viktor Frankl,700.00,775.00,50,Psychology
1984,George Orwell,900.00,1000.00,50,Sci-Fi
Where the Crawdads Sing,Delia Owens,330.00,400.00,50,Thriller
Nothing Lasts Forever,Sidney Sheldon,875.00,950.00,50,Thriller
Dreams From My Father,Barack Obama,1015.00,1200.00,50,Biography
The Brothers Karamazov,Fyodor Dostoevsky,930.00,1000.00,50,Classics
The Da Vinci Code,Dan Brown,920.00,1050.00,50,Thriller
Angels & Demons,Dan Brown,900.00,1020.00,50,Thriller
The Idiot,Fyodor Dostoevsky,750.00,820.00,50,Classics
